[2023-12-21 08:58:01.817] [info] Using configuration file /home/agge/.config/waybar/config
[2023-12-21 08:58:01.818] [info] Unable to receive desktop appearance: GDBus.Error:org.freedesktop.DBus.Error.UnknownMethod: No such interface “org.freedesktop.portal.Settings” on object at path /org/freedesktop/portal/desktop
[2023-12-21 08:58:01.818] [info] Using CSS file /home/agge/.config/waybar/style.css

(waybar:4926): Gtk-WARNING **: 08:58:01.819: Theme parsing error: style.css:327:17: Not using units is deprecated. Assuming 'px'.
[2023-12-21 08:58:01.823] [warning] Mapping is not an object
[2023-12-21 08:58:01.823] [info] Hyprland IPC starting
[2023-12-21 08:58:01.828] [warning] Waybar has been built without rfkill support.

(waybar:4926): GLib-GObject-CRITICAL **: 08:58:01.851: ../glib-2.78.3/gobject/gsignal.c:2088: type 'GtkWindow' is already overridden for signal id '73'

(waybar:4926): GLib-GObject-CRITICAL **: 08:58:01.851: ../glib-2.78.3/gobject/gsignal.c:2088: type 'GtkWindow' is already overridden for signal id '72'
[2023-12-21 08:58:01.990] [info] Bar configured (width: 2560, height: 35) for output: DP-2
[2023-12-21 09:29:08.663] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 09:29:08.665] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 09:29:08.665] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 09:29:08.667] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 09:29:08.668] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 09:29:08.674] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 09:29:08.674] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 09:29:08.676] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 09:29:08.676] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 09:29:08.682] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 09:29:08.683] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 09:29:08.684] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 09:29:08.684] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 09:29:08.691] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 09:29:08.691] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 09:29:08.692] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 09:29:08.692] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 09:29:08.699] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 09:29:08.699] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 09:29:08.701] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 09:29:08.701] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 09:29:08.707] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 09:29:08.708] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 09:29:08.708] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 09:29:08.710] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 09:29:08.710] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 09:29:08.715] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 09:29:08.716] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 09:29:08.717] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 09:29:08.718] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 09:29:08.719] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 09:29:08.723] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
